Zhongli: That's because there's actually another mechanism that must be activated.
Wanyan,A—Another?
Zhongli: Let me lead the way from here.
Wanyan,"This place seems familiar... Ah, I remember! I think there's some elemental monuments here — so you're saying they're related to all this?"
Wanyan,"When I investigated this seal last time, I had someone with a Vision accompany me."
Wanyan,"But when we lit up all the elemental monuments, nothing happened..."
Zhongli: "That's because you don't just need to activate them at the same time, but in a certain order as well. Otherwise, the seal will not be broken."
Zhongli: The secret to this puzzle is hidden in the legends about the Archon War.
Zhongli: """Tianhengin thesouth,Yaoguangin theeast,Jueyunin thewest,Qingcein thenorth— All desolate and devoid of life. Liyue is vast, yet even one haven is hard to find."""
Kliment,To the north... to the east... Do the people of Liyue always talk in riddles?
Wanyan,I—I think I've heard this saying before!
Zhongli: "Certainly you have, and the contents of this saying are also related to the God of Salt."
Zhongli: "To provide a haven for her people, whose lives had been ravaged by the Archon War, this benevolent god searched all across Liyue."
Zhongli: "At that time, with the chaotic fires of war engulfing the land, even one sliver of peace was a luxury."
Zhongli: "And that haven she eventually found is right here. Today, it is known as Sal Terrae."
Wanyan,"How sad then... In the end, this peaceful place was destroyed by Morax."
Kliment,"Okay, enough with these ancient stories. Now that we have the clue, hurry up and break the seal! Whatever happened doesn't matter as long as we can get inside that ruin!"
Zhongli: "Now think (Traveler),""Tianheng in the south, Yaoguang in the east, Jueyun in the west, Qingce in the north."""
Zhongli: "With this clue, you should be able to solve the puzzle."
Zhongli: "Tianheng in thesouth, Yaoguang in theeast, Jueyun in thewest, Qingce in thenorth."
Zhongli: The directions are the clue. Give it another try.
Wanyan,Look! The seal really was broken! Mr. Zhongli: is indeed quite remarkable!
Zhongli: "It was nothing, really."
Zhongli: "Now, it's time that people learn the hidden truth lost in time."
Zhongli: "Before entering the ruin, I have a proposal that will help us prevent the kind of senseless arguing between you two that we saw at Guyun Stone Forest."
Wanyan,"Okay, what is it?"
Zhongli: "I propose you two agree upon a contract, stipulating that we alternate who gets claim to each treasure we encounter, with only one object permitted per claim."
Zhongli: "To show my sincerity, I won't be taking any treasure — this will just be between you all."
Traveller: I won't take any either.
Paimon: Heyyy! Don't pass an opportunity like this up so easily!
Kliment,"I don't agree! I mean... you want me to split the treasure with this amateur archaeologist? No, absolutely not!"
Wanyan,"I don't agree either! Hmph, he will only defile the precious relics left behind by the God of Salt! I—I can't accept this."
Zhongli: "Well then... If the contract is not agreed upon, I will no longer serve as your consultant on this expedition."
Zhongli: "You will have to rely on your own experience to find whatever treasures are hidden in this ruin, as well as traps."
Kliment,Y—You have the audacity to demand this... Okay then. Even half of the treasure in the long-sealed ruin of the God of Salt should be enough to make a fortune.
Wanyan,"If you want me to agree upon this contract, so be it... I just have one request, Mr. Zhongli:."
Wanyan,"If we discover the truth behind the God of Salt, you must judge it fairly, even if the truth harms Morax's image."
Zhongli: I can accept this arrangement.
Zhongli: "Well then, let's go."
Wanyan,A—Are these... statues?
Zhongli: No. These are people.
Kliment,Urgh...
Zhongli: They were probably followers of the God of Salt.
Kliment,How did they become this way...?
Wanyan,What in the world is hidden deep in this ruin...?
Wanyan,Look at this. It's filled halfway with salt.
Kliment,Just looks like a fancy salt holder. Seems like the God of Salt was a god lacking in treasures.
Zhongli: "According to my knowledge, it's no ordinary vessel. Although it is only half-full, it is also forever half-full — that is to say, it is bottomless."
Kliment,"What!? You're saying that even if I pour the salt out, the amount inside won't change!?"
Zhongli: Exactly.
Wanyan,Able to produce endless salt... The God of Salt is powerful indeed!
Kliment,"Finally, after all that effort, I've found precious treasure! I claim this as mine!"
Kliment,"I just need to pour the endless salt into a thousand, or ten-thousand bags... I can sell it and make a fortune!"
Wanyan,Hey! How can you use a relic of the God of Salt for such a shallow pursuit!?
Zhongli: "If Mr. Kliment wants this salt chalice, then the next object we find will belong to Miss Wanyan, according to the contract agreed upon."
Kliment,"Of course, as we agreed. Hehe, but how can anything be worth more than this rare find?"
Wanyan,"Since we have a contract, it's no use for me to fight with him..."
Zhongli: "Then let's move on, shall we?"
Kliment,"Ha, just a simple ruler. Doesn't look to be worth anything."
Wanyan,"This... If I remember correctly, this is some kind of measuring tool."
Zhongli: Indeed. But the God of Salt imbued it with another power.
Zhongli: "When you stick this ruler in the ground, the surrounding area will become covered in salt, much like a rising tide covers the earth."
Zhongli: "The deeper it is stuck in the ground, the more salt will appear. It is essentially a ""bumper harvest"" of salt."
Kliment,Th—That's even better than the salt chalice!
Zhongli: "Well then, according to our contract, the salt ruler goes to Miss Wanyan."
Kliment,No! Unacceptable! I paid for and organized this entire expedition. Why should I get the short end of the stick!
Kliment,And this girl has been useless. Why should she get anything!?
Paimon: "Oh boy, here we go again..."
Traveller: *sigh*
Traveller: While we're on the topic of "useless" people...
Zhongli: "So you are saying, you want to break the contract?"
Kliment,"So what if I break it? Now that I've seen how the mechanisms in this ruin work, I no longer need you."
Kliment,Let's not forget who hired who here. Why should I let you make the rules?
Zhongli: Because you agreed to a contract.
Zhongli: Rex Lapis once said :  "Ones who break their contracts shall suffer the Wrath of the Rock."
Kliment,"That is one of your Liyue gods. I am from Snezhnaya, I—"
Zhongli: —Will "suffer the Wrath of the Rock" — you may find it rather unpleasant.
Zhongli: I shall confiscate your treasure as well.
Zhongli: You are not worthy to continue any further into the ruin. Leave this place.
Kliment,Darn you... Just you wait!
Paimon: Some "archaeological survey..." He could only pretend for so long.
Traveller: At least we had our guard up.
Paimon: "Yeah, good thing Paimon: can smell a liar from a mile away."
Traveller: "I hope you never become as greedy as him, Paimon:."
Paimon: "Hey! Paimon: likes Mora, but Paimon: doesn't do bad things!"
Zhongli: "Kliment's wrongdoing stemmed from greed, yes. But besides greed, there are many other things that may tempt us to break contracts."
Zhongli: "When people see the object of their dreams, how many are really able to control their desire and follow the contract...?"
Zhongli: I think we should be honest with each other now.
Paimon: Huh? Be honest about what?
Zhongli: "That in truth, not a single member of this ""archaeological expedition"" came here for archaeology."
Wanyan,Wh—Why do you say that?
Zhongli: "Miss, you lack even the most basic archaeological knowledge and can recognize naught but a few simple relics. However, you are an expert when it comes to anything regarding the God of Salt."
Zhongli: You aren't interested in archaeology or relics — what you're really interested in is the God of Salt.
Zhongli: I believe those legends about the God of Salt that you mentioned on thePearl Galleyare passed down between generations atYinyuan Hall...
Wanyan,"Okay, that's enough!"
Wanyan,"...Sir, you are indeed a man of great knowledge and talents. I seem to have been right to seek you out, once I plucked up my courage."
Wanyan,You're right. I'm not a scholar of archaeology. I come from one of theEight Tradesunder the jurisdiction of the Qixing — Yinyuan Hall of the salt industry.
Wanyan,"Our ancestors were those protected by the God of Salt all those years, when the Archon War engulfed the land in chaos."
Traveller: "Come to think of it, I've never heard you say ""Rex Lapis""..."
Traveller: "Hmm, I've never heard you say ""Lord of Geo""..."
Paimon: "Oh right. Now that you mention it, the people of Liyue very seldom use the name ""Morax""..."
Wanyan,"During the war, Morax assassinated our god out of envy for her power! He left us alone and lost in the world."
Wanyan,"We... We hate him! But this is Morax's Liyue, after all, and its history is written as he wishes..."
Wanyan,"So, I seek proof of Morax's guilt! He has blood on his hands, and cruelty in his heart!"
Zhongli: ...
Wanyan,"We agreed to a contract that we will face the truth head-on, didn't we Mr. Zhongli:!? You must judge this history fairly!"
Zhongli: "Naturally, of course. But I must add, Liyue is no longer Morax's Liyue."
Zhongli: Come with me. All the answers you seek lie ahead.
Wanyan,This is... a sword?
Wanyan,"Aha! It's a broken sword, this is proof! This proves that the God of Salt had to fight back, fight back against the evil Morax! But sadly, she was defeated..."
Wanyan,The power of this sword surely is much greater than that of the salt chalice and salt ruler!
Wanyan,"If we can repair this sword, then we can show the world the mighty power of the God of Salt..."
Paimon: Hmm... It does look like something left behind after being defeated in battle.
Zhongli: "Two pieces of a broken sword. From an archaeological perspective, these are two separate relics. According to the contract, you can only claim one."
Wanyan,"Wh—Why? We were alternating claims to treasure, true, but Kliment is no longer here..."
Zhongli: "Yes, but the ""only one object per claim"" clause still holds true. You cannot take two relics at the same time."
Wanyan,Th—This logic...
Paimon: "Erm... Zhongli:  she seems like a good person, and no-one is fighting over treasure. How about you let this one slide, huh?"
Zhongli: "When there's a contract, nothing can be allowed to ""slide."" If the contract is not followed, then it is broken."
Wanyan,"No! If I only take one half, then it can't be repaired, and the power of the God of Salt cannot be restored..."
Wanyan,"No matter what, I must be faithful to her..."
Wanyan,"Even if it breaks the contract, I don't care."
Zhongli: "So you are already decided? Hmm... Then, there is a price to pay for breaking the contract."
Paimon: Zhongli:!
Zhongli: "That is to say, you consign yourself to ""suffer the Wrath of the Rock."""
Wanyan,That... That's okay. The God of Salt gave up her life to protect her people. My sacrifice is nothing compared to that.
Wanyan,Punish me however you want. Just let me take this proof of my faith!
Paimon: "No, you can't hit her!"
Zhongli: "Perhaps that punishment would be easier for her, but..."
Zhongli: "As punishment, I will tell you the truth."
Wanyan,Huh?
Wanyan,The truth? You mean the truth is my punishment?
Zhongli: Yes. The truth that I am about to tell you shall be your price to pay for breaking the contract.
Zhongli: "I'm afraid to say that the God of Salt, Havria, was not the powerful god you imagine her to be."
Zhongli: "Rather, she was a small and weak god who yielded to all other gods. When it came to war, she lost... never able to win a seat among The Seven."
Wanyan,Wh—What...!?
Zhongli: "During the Archon War, the gods of this world used all their strength and cunning to vie for control of Teyvat."
Zhongli: "But Havria instead chose to flee. She thought that by giving up before a fight could start, she could save herself and her people from the war."
Zhongli: "However, during such a long war, there is no end to the advances of aggressors."
Zhongli: "After making countless concessions, Havria had lost all of her lands until only one small haven remained."
Wanyan,No... no... it can't be so...
Zhongli: "In her last days, she had not even a single blade to defend her people with."
Wanyan,"""Not even a single blade?"" Then, this sword..."
Zhongli: This sword is not a relic belonging to the God of Salt... but is instead the murder weapon used to kill her.
Wanyan,Murder weapon?
Wanyan,"No! That's not true, that can't be true! You are trying to test my faith in the God of Salt!"
Zhongli: "As I said before, I only state the facts."
Wanyan,"Preposterous! Y—You are a follower of Morax, don't try to trick me!"
Paimon: Hey! Heyyy! Come back!
Traveller: That was too much for her to take.
Zhongli: "It is a punishment, after all. I did not want to tell her such cruel facts, but the contract was broken..."
Traveller: "What you said really is true, right?"
Zhongli: "Indeed. Otherwise, why would I use the truth as punishment? I did not want to tell her such cruel facts, but the contract was broken..."
Zhongli: "Let's follow her deeper into the ruin. There, I fear, we will find something that will leave her no choice but to face the truth."
Paimon: Are these statue thingies... running?
Paimon: What will we find ahead...?
Zhongli: Salt. And betrayal.
Wanyan,...What are all these?
Wanyan,What did they see... What did they do?
Wanyan,What... What happened?
Zhongli: "Since you do not trust me, let us continue onward."
Zhongli: That which lies beyond this door will show you all that happened back then.
Zhongli: "This is the scene of the crime. Havria's body dissipated, leaving nothing but these traces of salt. Her dying moments have since been frozen in time to this very day."
Wanyan,...
Zhongli: "The story continues that some among her people realized at last that this gentle, kind but weak god could never protect anyone in wartime."
Zhongli: "The Archon War was cruel in the extreme. Instead of consigning her to the agony of defeat, they thought, perhaps it would be better to give her a quick release."
Paimon: But what about these statue thingies?
Zhongli: "No matter how weak the god, the power that flows forth when they are slain is beyond the strength of mortal coils to bear."
Zhongli: Those who could not flee were thus transformed.
Zhongli: "Those of her people who were untouched by this disaster left for Liyue, where they sought refuge with Rex Lapis."
Zhongli: Their descendants feared Havria's remnants and lived in terror that she had laid upon them an eternal curse...
Zhongli: "So they risked their lives to come here to break the sword, and offer up obeisances in hopes that her anger might be appeased."
Zhongli: But they need not have done so. For how could a god who had never once resisted — even till the end — nurse hatred for her people in her heart?
Wanyan,"I—I... Even if this is so, I can't..."
Wanyan,This must be a lie... a false history... all of it!
Wanyan,Don't you dare try to... shake my faith!
Paimon: "Yikes, Zhongli: didn't show any mercy this time, either..."
Zhongli: This is the price she must pay... Yet I would not call it a bad thing.
Zhongli: "Judging by how she appeared, I fear that she will struggle for a time. But even if she may not escape that struggle immediately, simply recognizing the truth is good enough for now."
Traveller: You seem all too familiar with what happened to the God of Salt.
Zhongli: "Indeed. In ages past, Havria's story served as a warning to me as well."
Traveller: "You didn't just hear rumors about the way to break the seal, did you?"
Zhongli: "No, indeed. How sharp of you — yet this is not a matter of wisdom. Only age."
Zhongli: Faith in a god who has already passed will do you no good.
Zhongli: "So it is for Havria, and so it is for Morax also."
Traveller: The people of Liyue will understand that one day.
Zhongli: "Alright, then. Now, would you like to accompany me in taking a trip to Guyun Stone Forest?"
Paimon: "Huh? What do you want to do, Zhongli:?"
Zhongli: *sigh*...
Zhongli: "Treading old ground, telling old stories..."
Zhongli: ...One cannot help but be reminded of old acquaintances.
Zhongli: "Now, I mentioned before that many gods of old have been sealed beneath the Guyun Stone Forest."
Zhongli: "The adepti have presently handed Liyue over to mortals, and Havria's time was even further in the past. The salt chalice and salt ruler that she left behind should not return to Liyue."
Zhongli: "To leave them here is to let them slumber, and it is also a homecoming..."
Traveller: "So, what would you like us to do?"
Zhongli: I ended an era with my own two hands. I have always wondered how I should... remember that which I ended.
Zhongli: "History records, but history may be changed. This incident proved that. Time is a mighty force, and histories twist in its flow..."
Zhongli: I need to find a better way of recording history in order to engrave its truth.
Zhongli: "Stone carvings were one such ancient method. But unchanging stone, immovable earth, even one such as myself... Someday, we may all disappear."
Paimon: Zhongli:...
Zhongli: "Therefore, I thought of you, Traveler."
Zhongli: "You are one who crosses the celestial atlas, and who passes through countless worlds. If our history is engraved in your memory, it will one day accompany you into another world."
Zhongli: "As long as a Traveler like you is able to record what happened, then a backup of sorts will exist for times and tides of Teyvat."
Traveller: So that's why you wanted us to come with you.
Paimon: Sounds like tough work.
Traveller: So you didn't just bring me along to find treasure?
Zhongli: "Hahaha... Well, may you find treasure among the stars even after you have left Teyvat."
Zhongli: "Now, I am the God of Wealth, so I would think that my words have some weight here."
Zhongli: "Now then, it is time that we consigned both the salt chalice and salt ruler to the sea."
Paimon: Huh? Why do we need to throw them into the sea?
Zhongli: As I said before... This is the place to which the remnants of many bygone gods are consigned.
Zhongli: "This includes Osial, Overlord of the Vortex, who the Jade Chamber most recently returned to this ocean prison..."
Zhongli: "Thousands of years ago,the adepti and I fought against the turmoil that plagued every corner of this land."
Zhongli: "Guyun Stone Forest, where I sealed many gods with my spears..."
Zhongli: "After so long, naught but folktales remain."
Zhongli: Osial... you and I were foes...
Zhongli: But our ancient grudge is but a bygone memory now.
Zhongli: May that which Havria has left behind be yours to subsume.
Zhongli: Thus another spark of divinity departs from Liyue.
Zhongli: My legacy shall now be left for those who come after to debate.
Zhongli: I will remain here for a while. I fear that moments of reminiscence like this can only grow fewer.
Traveller: I feel a bit bad for the God of Salt...
Zhongli: We did not measure right and wrong during the days of the Archon War in the same manner as we do today.
Zhongli: "Of course, as I am now... I only wish that she could have lived in a gentler time."
Traveller: Won't these relics cause Osial to grow in power?
Zhongli: "Though the salt chalice and salt ruler do have power in their own right, they are nothing before Osial."
Zhongli: "If a day comes when he should recover his strength and return... Ha, I believe that even so, he will be defeated once more."
Traveller: What will you do now?
Zhongli: "That is a good question. In the past, I might have given you a most specific answer."
Zhongli: "But now... Yes, I suppose I will continue in my role as a consultant at Wangsheng Funeral Parlor."
Zhongli: "But if this journey was to your liking, why don't you come along the next time I am seeking to preserve memories of Liyue's past?"
Paimon: "Hi Katheryne, it's us! Any new commissions?"
Katheryne,"As a matter of fact, there's one that looks perfect for you two."
Katheryne,Uncle Dai is one of the foremen atHuishan Hallover in Liyue Harbor. He's hoping the Adventurers' Guild can spare some manpower.
Paimon: What is it we have to do exactly?
Katheryne,I believe you'll be looking for workers.
Paimon: "Ooh, looking for people? Awesome, we're good at that!"
Katheryne,I have no reason to doubt your abilities.
Katheryne,"I'm sure the details can be worked out face to face. If you're willing to accept this commission, head over to the dock and talk to Uncle Dai."
Paimon: Hey! Are you Uncle Dai?
Uncle Dai,I am indeed.
Uncle Dai,"Ahh, now then, you must be the adventurers assigned by the Guild."
Paimon: Huh? How could you tell!?
Uncle Dai,"By the clothes on your back and the look on your face. Experienced adventurers at that, I'll wager."
Paimon: Right again! You're pretty perceptive!
Uncle Dai,"Hahaha. In this trade, you need a sharp eye for people, not just rocks. Uncle Dai can see what you're made of from a long way off."
Uncle Dai,"Alright, my assistant should be arriving soon so let's just wait here a moment."
Paimon: "Whoa whoa, that's why we're here! Now there's someone else taking a cut?"
Uncle Dai,"Well, to tell you the truth, this is a very difficult matter. Too much for adventurers alone to handle, I fear..."
Paimon: Hmph! So there is someone else!
Paimon: Do you think we're not up to the job?
Traveller: "Steady, Paimon:..."
Traveller: "Paimon:  you're getting competitive again..."
Uncle Dai,"It just occurred to me that you don't have all the facts. The incident in question happened in a mine, and it's a little out of the ordinary, to say the least. Mines are dangerous places, as I'm sure you're aware. As such, I've enlisted an industry expert to cover all contingencies."
Uncle Dai,"Last time I checked, adventurers weren't experts in ore appraisal or geological analysis. With a professional by your side, everything should run smoothly."
Uncle Dai,"Besides, this guy is the best in his field. No matter the rock, he'll tell you its value to the nearest Mora at a glance."
Uncle Dai,I'd go as far to say that there's not a soul in Teyvat that knows rocks better than him. I'd be a fool to not enlist an expert of his caliber!
Paimon: You're a fool if you think you found Teyvat's number one rock expert!
Uncle Dai,Oh? And why might that be?
Paimon: Because Teyvat's number one rock expert happens to be a friend of ours...
Traveller: You must be talking about...
Traveller: "(Perfect, I was planning to ask him a few questions.)"
Paimon: "Haha~ Didn't expect that, did you! Wait here, we'll go fetch him."
Paimon: Paimon: bets Zhongli: is listening to the Storyteller. Let's head over!
Uncle Dai,Your rock expert... what does he look like?
Iron Tongue Tian,"In our last tale, Rex Lapis..."
Paimon: Zhongli:! There you are!
Zhongli: Oh!
Zhongli: Here for a few tales? I didn't know you two were connoisseurs.
Paimon: "Oh, no no! We're here for you! Um... do you have time?"
Zhongli: Ah... something I'm rarely short of.
Traveller: We've accepted a commission...
Traveller: We have a special task...
Paimon: We need someone who understands geology and ore.
Zhongli: Hmm... someone who understands geology and ore...
Paimon: Ugh... Take a look around! Is there anyone in Teyvat more qualified?
Paimon: "The requester claims to have enlisted Teyvat's number one rock expert, but Paimon: doesn't believe a word of it. Nobody understands rocks better than you!"
Zhongli: You appear to have taken his claim quite personally on my behalf.
Paimon: "Oh, no no... it's just... Uncle Dai doesn't know what he's talking about!"
Paimon: Paimon: just wants to... enlighten him...
Zhongli: "Hahaha, I see. Well then, it will be my pleasure to accompany you."
Paimon: Really!?
Zhongli: But I should inform you that despite my expertise... I cannot necessarily claim to be a leading authority.
Zhongli: "We are at all times adrift in a sea of learning — new knowledge should be welcomed with open arms. Still, I imagine I will be of help to you in this endeavor. If we do encounter an expert, I look forward to broadening my own understandings."
Paimon: "Ugh... stop being so modest, Zhongli:."
Paimon: "Well, we got him! Let's head back to Uncle Dai!"
Paimon: Uncle Dai! We're back!
Uncle Dai,Oh! And this must be the friend you spoke of?
Paimon: "Yup! Paimon: doesn't know who your rock expert is, but he's got nothing on our guy!"
Zhongli: "Haha, let's not get ahead of ourselves. Still, I do have a claim to some experience in this field."
Uncle Dai,"Uh-huh, so you say. Wait till my guy gets here, then we'll see."
Uncle Dai,It's no use me singing his praises. You'll have to see for yourselves.
Kun Jun: Uh... is this the place?
Uncle Dai,"Aha! Speak of the devil! Allow me to introduce my assistant,Kun Jun:."
Uncle Dai,"Young Kun, these are two adventurers assigned to us. And as for this gentleman..."
Kun Jun: Hm...?
Zhongli: ...
Traveller: "This is Zhongli:  a consultant from the funeral parlor."
Uncle Dai,Wangsheng Funeral Parlor's consultant... Mr. Zhongli:! I've heard about you. They say you're a man of great knowledge and many talents. I had no idea I'd be meeting you in person today.
Kun Jun: "I... I'm sure I recognize you... Have we met at the parlor? Wait, I've never been to the parlor..."
Paimon: "Uncle Dai, aren't you going to test them?"
Traveller: So that's what you were planning.
Uncle Dai,Huh? I... I wouldn't know where to start...
Paimon: "Then they can figure out a way to test each other! If Zhongli: wins, he's the assistant. If Zhongli: loses, uh... N—Never mind, Zhongli: won't lose!"
Kun Jun: "A contest? Why, it would be my pleasure!"
Zhongli: "I admire your enthusiasm, good sir."
Kun Jun: "Haha! I must say, you certainly have the look of an industry expert about you. It'll be interesting to see which one of us wins."
Paimon: Stop talking the talk and start walking the walk!
Kun Jun: "I'm just saying it like I see it, haha... Which is incidentally the only skill I have worth talking about."
Zhongli: "So you're an appraiser, Mr. Kun Jun:?"
Kun Jun: "Well, no... actually I've already forgotten what I'm in Liyue Harbor for... I was standing by the side of the road one day when Uncle Dai called me over."
Kun Jun: "He saw me holding a rock and asked me a few questions. He seemed incredibly excited, even followed me for a while. We arranged to meet here."
Paimon: Huh? How could you forget something like that?
Uncle Dai,"I saw him on my way over to Liyue Harbor, poring over rocks and muttering to himself. He looked to be very familiar with them."
Uncle Dai,"I asked him a few questions out of curiosity. To my surprise, he knew more than me, an old mining foreman! In any case, he didn't have any pressing matters, and agreed to help me."
Paimon: So... do you have a poor memory?
Kun Jun: "Not exactly... Anyway, if it's rocks you need help with, I can most certainly lend a hand."
Kun Jun: "Mr. Zhongli:  what do you make of this rock?"
Zhongli: Hmm...
Zhongli: "A glossy exterior, with a fissure that could only have been left in the wake of a volcanic eruption. If I'm not mistaken, this is a rough gem from another nation."
Kun Jun: Ah... a keen eye!
Zhongli: "It's no ordinary rough gem. Fragile surface layer, black veining... My intuition tells me that there's high-quality crystal ore inside."
Kun Jun: Remarkable. This rock does indeed hail from the vicinity of a volcano. I came across it in a market and snapped it straight up. The seller thought it was some leftover industrial remnant. They had no inkling of the treasure that lay within.
Traveller: Isn't Crystal Ore found everywhere?
Traveller: What makes this one so special?
Kun Jun: Purity and geological rarity alone aren't enough to make a treasure. Some of the most precious crystals contain deposits of water or sand.
Kun Jun: "In the moment of its formation, the crystal hidden within this stone shell captured a pocket of water. For water to be hidden in its depths, like a moon concealed within a mountain, reflecting shafts of daylight that make it through... Now that's a rare treasure."
Paimon: "Such a detailed description, almost like he saw it with his own two eyes..."
Paimon: "Say... you're not trying to hoodwink us are you? After all, we haven't even seen what's inside yet!"
Zhongli: Everything he said is true.
Zhongli: "Most crystals are born in high-temperature environments. Heat and water aren't natural bedfellows of course, which is why crystals with water deposits are so sought-after. Moreover, this particular crystal contains mountain lake water. A rare find indeed."
Paimon: "Well if Zhongli: says so, it must be true..."
Kun Jun: "I've yet to encounter anyone with a judgment as shrewd as yours, Mr. Zhongli:. How did you know exactly what lay within?"
Zhongli: "I've seen many such stones in my time, I recognized it immediately. I hope you didn't mind me flaunting my experience, Mr. Kun Jun:?"
Kun Jun: Of course not! I feel I've met a kindred spirit here today. I hope you will accept my friendship.
Kun Jun: "Uncle Dai, it would be a mistake for Mr. Zhongli: not to join us! Trust me when I say that his level of expertise is unrivaled in the trade. You won't come across another of his caliber in your lifetime."
Uncle Dai,"Very well, there is strength in numbers after all! Everyone, follow me to The Chasm. There are men counting on you to find them."
Paimon: "Whoa, this mine is huge..."
Uncle Dai,This is where the incident occurred.
Uncle Dai,"Six days ago, a group of us left the site to attend to other matters. When we returned, the four men we'd left behind had vanished."
Uncle Dai,I led a team around the entire mine but found no trace. That's when I decided to enlist help.
Zhongli: So four miners have disappeared.
Uncle Dai,"Yes. There were ten of us. We lost Long, Bold Cen, Brave Cen, and Mao. I worked with all of them."
Zhongli: Workers in this trade are usually young men in the prime of their lives. Could it be that the four of them left for another mine?
Uncle Dai,"Unlikely. There's no other lodging for miles around, and we didn't pass any other mines on the way over."
Kun Jun: Huh... such a huge mine. Did you really manage to explore every corner?
Uncle Dai,"Underground, overground... we left no stone unturned. We tried everything short of digging further into the earth itself. How could four sturdy young men just vanish into the bedrock?"
Zhongli: We'll need to explore the site ourselves before extracting any conclusions.
Uncle Dai,"Very well, I'll wait here, please proceed wherever you'd like. If you come across any clues, let me know straight away."
Paimon: So strange... how could the four of them just suddenly disappear...? Did they run away from something?
Paimon: Let's look around first and see if we can find any clues!
Uncle Dai,I'll leave the investigations to you.
Kun Jun: We'll work more efficiently if we split up. I'll start my investigations here.
Kun Jun: Hmm... let's start with the details... what type of rocks do we have here...
Bravo,Where did my friends disappear to? Ugh... I tremble just thinking about it.
Paimon: Over here! What's this?
Paimon: "A pile of shirts, some trousers..."
Zhongli: "A few everyday items, they must belong to Uncle Dai and his men."
Paimon: "One, two, three, four..."
Paimon: "Huh... that seems right. Ten shirts, ten pairs of trousers."
Paimon: "These must be spares, right? Look, Uncle Dai's clothes are identical."
Zhongli: The four of them have been gone for six days without a change of clothes.
Paimon: "There's also a few handkerchiefs and some soap lying around... Oh, and some tool belts."
Zhongli: Items for washing one's face before the dawn shift... mining equipment...
Paimon: So... they didn't take any supplies...
Zhongli: "Hmm, correct."
Traveller: Maybe they didn't need them?
Traveller: Maybe they just forgot them?
Zhongli: Improbable.
Zhongli: There are four pickaxes missing. It seems likely they left with the tools of their trade.
Zhongli: "They had time to take their tools, but not their everyday items? Curious."
Paimon: "Huh... why would someone set off with their tools, but leave their luggage behind?"
Zhongli: "One :  They were working close by and didn't need to move their personal effects. But seeing as they've yet to return, this seems an unlikely hypothesis."
Zhongli: "Or, two :  They were forced to leave and had no time to think about their supplies."
Paimon: Oh...!
Traveller: Do you think... someone kidnapped them?
Zhongli: It's certainly a possibility. We'll need more clues before any further inference can be made.
Paimon: "If they didn't leave, maybe they were made to leave... Let's make a note and let Uncle Dai know."
Paimon: "Kun Jun:  what do you have there?"
Kun Jun: "Oh, right on time."
Zhongli: Did you find anything?
Kun Jun: "There's a chunk of ore here, perhaps there are clues within."
Paimon: Ore? What does it have to do with the disappearance?
Kun Jun: Let's find out. I'll give it a try. A moment please.
Kun Jun: ... Okay...
Zhongli: ...
Paimon: Uh... Looks like he's concentrating really hard. What's he up to?
Kun Jun: I see... four men... following someone out of the mine... it looks like a child.
Paimon: A child? What's a child doing in a mine!?
Kun Jun: I'm not sure...
Paimon: "Also, how did you ""see"" anything exactly?"
Kun Jun: Oh! I don't mean "see" in the traditional sense... I—I would appreciate it if what I'm about to tell you remained a secret. It's a little odd... I've never dared to tell anyone before.
Kun Jun: I can... perceive the memories of ore.
Paimon: Huh—!?
Zhongli: "Perceive?" So there's no... conjecture at work?
Paimon: You mean you can put your hand on a rock and — boom! It just happens?
Kun Jun: "I've always sensed that ore contains ""memories."" Sometimes it records events that occur in the surrounding area. All I have to do is touch one and focus my attention, and the memories come to me."
Paimon: Amazing! So you can find out everything that ever happened there!
Kun Jun: "It depends on the ore. Some ores have astounding memories. Others, like Iron Ore and White Iron Ore aren't up to much. Their memories are hazy."
Kun Jun: Cor Lapis and crystal memories are much stronger.They record more events and in greater detail.
Zhongli: "Stone-seeing... fascinating. A rare ability indeed. It was prudent of Uncle Dai to recruit you, Mr. Kun Jun:."
Kun Jun: "Haha, I'm glad I can be of assistance."
Kun Jun: "Based on what I saw, I believe they followed this path."
Zhongli: "This will take us north, away from the mine."
Paimon: North... another clue for Uncle Dai! Let's make a note of it.
Kun Jun: Could it be that the child I saw kidnapped them? Hmm...
Zhongli: "Excuse me sir, are you one of the workers here?"
Bravo,"Ah! Yes, yes! You must be here about the disappearance. Please find them if you can!"
Bravo,"I... I don't know what happened. The weather was gloomy that day, the foreman left with a few men."
Bravo,I stayed behind with the other four. After a while I decided to take a break... just to catch my breath!
Bravo,"I ended up falling asleep in the shelter inside. When I woke up, there was no sight of them! I'd only just been speaking with them and suddenly... they'd vanished..."
Bravo,Maybe... maybe I'm next...
Zhongli: "So the men that were out working disappeared, with the only one left to tell the tale having been asleep in a shelter."
Zhongli: Perhaps an accident occurred on-site.
Paimon: Oh... What a scary thought...
Paimon: An on-site accident... We should note that down too.
Paimon: We've found some clues. Time to report back to Uncle Dai.
Uncle Dai,You're back! How are the investigations going?
Zhongli: We found three clues in the vicinity.
Zhongli: "First, there are four missing pickaxes, yet everyday items are still in their place. This suggests that your men didn't leave of their own accord, but were forced to."
Uncle Dai,Forced to!? But... who would kidnap miners?
